,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000083223.20,56.3013528623614,-0.490522726785722,0.432829019981679,-1.13329445148222,0.257090621046471,0.710759565438262
ENSG00000101849.20,34.0459680627833,0.643201292921729,0.567391445829706,1.13361119144326,0.256957676496419,0.710759565438262
ENSG00000131368.11,89.8693667902763,0.414613255360801,0.365581489941867,1.13411993431815,0.256744242886315,0.710759565438262
ENSG00000185085.3,55.9968482477575,-0.484790295475269,0.427562665098263,-1.13384618220549,0.256859075192679,0.710759565438262
ENSG00000187266.16,7.98624427377703,1.2414536692096,1.09536442240189,1.13337045080154,0.257058717671297,0.710759565438262
ENSG00000285241.2,12.1948224112827,1.13479940469619,1.00114834566721,1.13349775745762,0.257005282401873,0.710759565438262
ENSG00000117155.19,51.0175495080512,-0.509713428317741,0.449936515674647,-1.13285632652745,0.25727459292017,0.710884849313776
ENSG00000286019.5,19.0268761763284,0.851740213316904,0.751836568552933,1.13287947001069,0.257264872517453,0.710884849313776
ENSG00000176018.15,115.869370793411,0.362616532002006,0.320179075663188,1.13254287854669,0.257406268065546,0.710888211205561
ENSG00000291140.2,9.48581405850703,1.13271558411377,1.00016972307504,1.13252336876506,0.257414465399478,0.710888211205561
ENSG00000075239.17,149.113814950256,-0.324767859326553,0.286995471085201,-1.13161318573609,0.25779709410241,0.711178747088005
ENSG00000089091.19,9.96493209876793,1.28066321904925,1.13162113707361,1.13170669678463,0.257757765142861,0.711178747088005
ENSG00000146872.21,24.9036362900139,-0.716837802109683,0.63341098154741,-1.13171041076437,0.257756203199908,0.711178747088005
ENSG00000163956.15,82.7342875956156,-0.412557073974363,0.364470011089279,-1.13193695344472,0.257660941333717,0.711178747088005
ENSG00000137720.9,15.5705048621817,0.960452686502079,0.849090950908916,1.13115407186233,0.257990249003308,0.711328855412724
ENSG00000290860.2,9.07873219447331,1.53077541382531,1.35324632413193,1.13118756469356,0.257976154761099,0.711328855412724
ENSG00000162714.15,53.8744374704045,0.506599702753907,0.448134332161503,1.1304639399316,0.258280784840425,0.711513805964671
ENSG00000165757.10,24.0828689916616,0.765445638690575,0.677341306102562,1.13007376310027,0.258445144136434,0.711513805964671
ENSG00000167004.16,1264.75823309824,0.240159833230203,0.212422523912293,1.13057612162335,0.258233542492972,0.711513805964671
ENSG00000167371.23,30.2994372347095,-0.709193477355113,0.627267873802883,-1.13060704520948,0.258220520897346,0.711513805964671
ENSG00000167543.18,32.9480160998188,0.645288245774657,0.571048471384036,1.13000608198931,0.258473661714297,0.711513805964671
ENSG00000277443.5,10.796073826203,-1.06500619973182,0.942435833463756,-1.13005698840798,0.258452211984866,0.711513805964671
ENSG00000163346.19,37.9970879005351,-0.627647939827328,0.555676108814087,-1.12952119026107,0.25867803565092,0.711694278927967
