"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035239","tube morphogenesis","35/338","438/8747",0.0799086757990868,2.06793250655211,4.5972422810269,3.18118757884693e-05,0.00318300540032056,0.00276882912877685,"LOX/PLK2/ACTG1/TGFB2/COL8A1/WARS1/THBS1/CTNND1/SAT1/AMOTL2/THY1/CAV1/MYH9/SARS1/GREM1/ANGPTL4/EGFR/PIK3R3/ZFP36L1/FGF1/AKT3/HMGA2/DDAH1/NRP1/VDR/PDGFRB/SDCCAG8/LDLR/CDH13/CCN2/CCBE1/ADM/ARHGAP22/CXCL8/MYOCD",35
"GO:0032366","intracellular sterol transport","7/338","26/8747",0.269230769230769,6.96734182976787,6.10907360256174,4.21198704344151e-05,0.00409732739614783,0.00356417850985957,"TMEM97/VPS52/LDLR/ABCA1/STARD4/NPC1/PCSK9",7
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway","29/338","341/8747",0.0850439882697947,2.20082770827188,4.53475791463763,5.14441259634977e-05,0.0047420606090838,0.0041250183061374,"TRIB3/LOX/DDIT3/KALRN/THBS1/PLAUR/GFRA1/COL1A1/SLC39A14/GREM1/KIT/EGFR/PIK3R3/ATF4/LEPROT/FGF1/AKT3/NRP1/SOCS4/PDGFRB/ABL2/CDH13/CCN2/GALNT3/CCBE1/SPRY4/SOCS5/MYOCD/IGF1R",29
"GO:0046718","symbiont entry into host cell","12/338","80/8747",0.15,3.88180473372781,5.19117961835386,5.14558261408293e-05,0.0047420606090838,0.0041250183061374,"SLC3A2/CAV1/MYH9/EGFR/HSPA1A/NRP1/CLDN1/LDLR/MYH10/TRIM25/NPC1/NECTIN2",12
"GO:2000147","positive regulation of cell motility","26/338","292/8747",0.089041095890411,2.30426765015806,4.54456430210424,5.9155812392991e-05,0.00522702671634433,0.00454688007367233,"HSPA5/PLK2/ACTG1/TGFB2/CAVIN1/THBS1/THY1/COL1A1/CAV1/FLNA/GREM1/KIT/PREX1/EGFR/PIK3R3/FGF1/AKT3/NRP1/CLDN1/PDGFRB/ARHGEF2/ABL2/CDH13/CCBE1/CXCL8/IGF1R",26
"GO:0051248","negative regulation of protein metabolic process","32/338","397/8747",0.0806045340050378,2.0859404110712,4.43965191184968,5.97033319970797e-05,0.00522702671634433,0.00454688007367233,"HMGCR/PTX3/SERPINE2/WARS1/THBS1/SQSTM1/THY1/EIF4EBP1/CHAC1/CAV1/FLNA/PRNP/CDKN1A/EGFR/ATF4/CYP51A1/NQO1/SERPINB8/HSPA1A/NIBAN1/SESN2/AZIN1/SOCS4/DHFR/LDLR/PDCD4/BEX4/TRIM44/RIC1/FBXO38/AJUBA/SOCS5",32
"GO:0034976","response to endoplasmic reticulum stress","22/338","227/8747",0.0969162995594714,2.50806766936892,4.61535244647708,6.33748323557626e-05,0.00541313811975319,0.00470877445025872,"TRIB3/HSPA5/STC2/HERPUD1/PPP1R15A/DDIT3/THBS1/HM13/CHAC1/CAV1/SYVN1/DNAJB9/HYOU1/ATF4/SERP1/HSPA1A/NIBAN1/AKT3/SESN2/TRIM25/CXCL8/SDF2L1",22
"GO:0070527","platelet aggregation","8/338","37/8747",0.216216216216216,5.59539421077883,5.61572028445954,6.61389290076403e-05,0.00551472689011325,0.00479714437463938,"VCL/ACTG1/SERPINE2/ACTB/SLC7A11/MYH9/FLNA/MYL9",8
"GO:0040017","positive regulation of locomotion","26/338","296/8747",0.0878378378378378,2.2731288981289,4.46740258500342,7.43129217543016e-05,0.00580766250297481,0.00505196287342845,"HSPA5/PLK2/ACTG1/TGFB2/CAVIN1/THBS1/THY1/COL1A1/CAV1/FLNA/GREM1/KIT/PREX1/EGFR/PIK3R3/FGF1/AKT3/NRP1/CLDN1/PDGFRB/ARHGEF2/ABL2/CDH13/CCBE1/CXCL8/IGF1R",26
"GO:0034109","homotypic cell-cell adhesion","9/338","48/8747",0.1875,4.85225591715976,5.36527509546722,7.62856867895034e-05,0.00580766250297481,0.00505196287342845,"VCL/ACTG1/SERPINE2/ACTB/PLAUR/SLC7A11/MYH9/FLNA/MYL9",9
"GO:0060840","artery development","9/338","48/8747",0.1875,4.85225591715976,5.36527509546722,7.62856867895034e-05,0.00580766250297481,0.00505196287342845,"LOX/TGFB2/DDIT3/AKT3/NRP1/PDGFRB/LDLR/MYH10/MYOCD",9
"GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","9/338","48/8747",0.1875,4.85225591715976,5.36527509546722,7.62856867895034e-05,0.00580766250297481,0.00505196287342845,"TRIB3/HERPUD1/PPP1R15A/DDIT3/CHAC1/SYVN1/HYOU1/ATF4/HSPA1A",9
"GO:0044344","cellular response to fibroblast growth factor stimulus","9/338","49/8747",0.183673469387755,4.75323028619732,5.28183050992943,9.03193647716028e-05,0.00672975351979049,0.00585407036168014,"THBS1/CD44/COL1A1/ZFP36L1/FGF1/CCN2/GALNT3/SPRY4/CXCL8",9
"GO:0030335","positive regulation of cell migration","25/338","284/8747",0.0880281690140845,2.27805442120177,4.38972442253076,9.88278256413995e-05,0.00721031344575377,0.00627209928522391,"HSPA5/PLK2/ACTG1/TGFB2/THBS1/THY1/COL1A1/CAV1/FLNA/GREM1/KIT/PREX1/EGFR/PIK3R3/FGF1/AKT3/NRP1/CLDN1/PDGFRB/ARHGEF2/ABL2/CDH13/CCBE1/CXCL8/IGF1R",25
