,control_rep1,control_rep2,pfos50_rep1,pfos50_rep2
ENSG00000166333.16,579.100779096505,567.762745748197,565.477897037716,528.366029824346
ENSG00000166337.12,14.1477741670591,25.5349831628518,62.5000690140472,23.4425184491841
ENSG00000166340.20,647.864964020807,948.823948362633,1421.2239546397,1332.27000092536
ENSG00000166347.21,18.9071794129386,23.5469540474993,13.9119912457458,12.3786899701936
ENSG00000166348.22,23.4798641575473,22.9032300443002,109.928332662878,58.8441827141525
ENSG00000166352.20,13.4387551603017,18.7774060953371,14.3851340859277,20.7271806281414
ENSG00000166377.23,5.90837026134524,11.2112490728652,19.5797248177903,39.0141571022032
ENSG00000166396.15,6.07679340404724,8.59435891443218,15.471510472211,32.2790107668138
ENSG00000166398.16,29.006586335524,56.3120418647574,38.9137483371734,45.0027618697571
ENSG00000166401.17,17.058171637143,20.9847121471449,110.13038394922,85.8639555489027
ENSG00000166411.16,268.524442300378,192.194280749691,186.417314799454,237.143747764455
ENSG00000166435.18,22.2237786088897,19.6836614478385,66.264595569293,52.6747066841676
ENSG00000166436.19,15.9493101723262,11.1457094674417,25.1422075874434,11.5021142771793
ENSG00000166439.8,12.1783279428745,7.14059890949648,18.837252593233,29.6685556340683
ENSG00000166441.15,169.827573907704,130.113150417151,365.78644021475,216.462207317558
ENSG00000166444.21,37.9333033301714,47.1487844805906,51.7467044535977,23.2294725234804
ENSG00000166451.16,75.9319479463628,118.968534152024,181.410765092345,117.136893993575
ENSG00000166452.14,45.3011184092425,63.6608697387129,32.9318804064105,28.9441579748015
ENSG00000166454.12,37.6268549600462,54.4505976833789,62.1397488635051,69.3138533519801
ENSG00000166471.13,73.7280882676998,49.9765509100255,71.9052898319515,83.9386906716282
ENSG00000166477.15,95.2691765551135,123.478363024931,90.1379237302032,63.4351399378702
ENSG00000166478.12,71.7811106272394,60.097647832905,41.2357639896869,58.8268994478478
ENSG00000166479.12,144.770086715579,207.995483875542,166.884528511693,286.358542275326
ENSG00000166483.14,16.4405014534226,15.7776685994292,27.1869103929992,10.005546778616
ENSG00000166484.22,48.1189604129371,23.1670699781415,54.6465850832703,52.252951106662
ENSG00000166503.12,54.0661867787066,50.5937817429685,32.2766049955867,24.2667105951869
ENSG00000166507.21,20.1694690282578,39.2020705254748,22.6063198845854,61.1866858748789
ENSG00000166508.21,1168.27520611448,1097.28604612146,905.052363052009,1031.76212339865
ENSG00000166526.21,62.7017589658983,105.235872846688,46.8685677213384,54.1926649943722
ENSG00000166529.18,9.36573350347554,26.2272681691541,22.1596271084478,15.8820916081995
ENSG00000166532.18,31.3174197925091,52.6134661642085,20.4924401291143,36.2941602865064
ENSG00000166548.18,3.3607952833252,1.0561933664178,15.103268414763,57.711700889362
ENSG00000166557.16,152.993184643348,154.400866677775,205.276752708069,200.450901661359
ENSG00000166562.12,12.7758831664985,5.29851271291454,41.1148498734884,33.6304150841542
ENSG00000166575.19,41.0470348290382,42.5358021385455,58.3027924195116,60.6358424030552
ENSG00000166579.18,197.920077086215,369.398370028161,496.577695777631,360.468349547781
ENSG00000166595.13,18.0517215827809,16.2580875416668,29.3720259825277,19.0081723335342
ENSG00000166598.18,1530.03821150522,1478.32769133109,2292.69219186015,2476.4079590465
ENSG00000166619.17,327.854452256947,471.037455933,585.0610948169,492.397440417206
ENSG00000166669.16,9.04741635514103,12.4195885637252,9.02393158618807,15.3376445240779
ENSG00000166681.16,139.460017777758,117.868660120493,173.472095891626,146.942451034936
ENSG00000166685.15,190.802649093304,177.674234381181,223.968478150633,232.77054812497
ENSG00000166689.20,10.0745967288448,15.8417660714046,0,3.5921449956789
ENSG00000166710.25,484.476020028023,466.953225243231,444.270137183546,387.667869501493
ENSG00000166716.12,35.6745322376643,33.4725942378022,24.1779434700981,46.2458536167212
ENSG00000166734.22,147.914429788606,227.486477859978,208.554693185577,237.993374011627
ENSG00000166741.11,244.487266306459,187.464759144099,154.726998292326,136.176236572282
ENSG00000166747.15,175.458708170775,146.480428464836,86.8474484188609,181.593497563564
ENSG00000166750.12,13.6891531983186,17.4155607569086,81.0338750488335,82.106867220585
ENSG00000166770.13,23.0012244280955,47.0818626804748,33.9093398484642,33.3483678995532
ENSG00000166783.24,25.2343840172106,29.2617978729415,31.3573992737245,0
ENSG00000166788.12,111.424747028126,152.076007561585,164.876752995117,126.200596121551
ENSG00000166794.9,3187.58196988531,5383.18231514397,9531.10475200147,7537.17959239537
ENSG00000166797.14,76.8014673730388,72.2147757434445,106.11445423774,99.1302997316426
ENSG00000166801.19,92.4823754685856,51.2439416895708,27.4576366184467,41.5756482332496
ENSG00000166803.16,147.252127859511,148.431391438396,99.8592380395507,83.3998527214023
ENSG00000166813.19,3.41642758046595,12.584315972054,2.38837992823721,8.76470419200567
ENSG00000166822.15,16.0427426967372,19.759229721966,20.6301989259105,31.5615009741454
